materials Del_P Pipe_D angle Inlet_V Density Viscosity "Elbow angle"
0 24.93754 0.005 0.0175 0.02 998.0 0.0009737 1.0
1 23.688087 0.005 0.0175 0.019 998.0 0.0009737 1.0
2 22.438908 0.005 0.0175 0.018 998.0 0.0009737 1.0
3 21.190007 0.005 0.0175 0.017 998.0 0.0009737 1.0
4 19.941388 0.005 0.0175 0.016 998.0 0.0009737 1.0
5 25.66092 0.005 0.2094 0.02 998.0 0.0009737 12.0
6 24.352826 0.005 0.2094 0.019 998.0 0.0009737 12.0
7 23.048099 0.005 0.2094 0.018 998.0 0.0009737 12.0
8 21.74676 0.005 0.2094 0.017 998.0 0.0009737 12.0
9 20.448747 0.005 0.2094 0.016 998.0 0.0009737 12.0
10 26.838889 0.005 0.4189 0.02 998.0 0.0009737 24.0
11 25.417011 0.005 0.4189 0.019 998.0 0.0009737 24.0
12 24.005261 0.005 0.4189 0.018 998.0 0.0009737 24.0
13 22.603793 0.005 0.4189 0.017 998.0 0.0009737 24.0
14 21.212467 0.005 0.4189 0.016 998.0 0.0009737 24.0
15 28.234264 0.005 0.6283 0.02 998.0 0.0009737 36.0
16 26.678894 0.005 0.6283 0.019 998.0 0.0009737 36.0
17 25.140252 0.005 0.6283 0.018 998.0 0.0009737 36.0
18 23.618722 0.005 0.6283 0.017 998.0 0.0009737 36.0
19 22.114587 0.005 0.6283 0.016 998.0 0.0009737 36.0
20 29.667051 0.005 0.8378 0.02 998.0 0.0009737 48.0
21 27.982429 0.005 0.8378 0.019 998.0 0.0009737 48.0
22 26.319438 0.005 0.8378 0.018 998.0 0.0009737 48.0
23 24.678962 0.005 0.8378 0.017 998.0 0.0009737 48.0
24 23.061722 0.005 0.8378 0.016 998.0 0.0009737 48.0
25 4.86071 0.0113 0.0175 0.02 998.0 0.0009737 1.0
26 4.6166936 0.0113 0.0175 0.019 998.0 0.0009737 1.0
27 4.3727424 0.0113 0.0175 0.018 998.0 0.0009737 1.0
28 4.1288823 0.0113 0.0175 0.017 998.0 0.0009737 1.0
29 3.885125 0.0113 0.0175 0.016 998.0 0.0009737 1.0
